RECORD_ID,TIMESTAMP,CALLING_NUM,CALLED_NUM,CALL_TYPE,DURATION_SEC,CALLER_IMSI,CALLER_IMEI,CALLER_MNO,BTS_ID,CELL_ID,LAC,STATUS
CDR-SUB-220024,2026-05-24T23:31:32.451178,+916026809904,+916318903853,SMS,0,405840747639583,864382046896327,Jio,BTS-MUM-007,99315,1001,SUCCESS
CDR-SUB-940248,2026-05-24T23:29:31.451178,+919204600776,+919013855207,VOICE,170,405457573697035,359028096612955,Airtel,BTS-MUM-002,20960,1000,SUCCESS
CDR-SUB-282867,2026-05-24T23:39:57.451178,+919276513825,+917895494009,SMS,0,405840102762415,868203046696192,Jio,BTS-MUM-007,99315,1001,SUCCESS
CDR-SUB-778105,2026-05-24T23:43:01.451178,+917514757104,+919006057141,SMS,0,405840659060962,351657114979893,Jio,BTS-MUM-013,96156,1002,SUCCESS
CDR-SUB-289299,2026-05-24T23:40:57.451178,+917820984601,+916979618151,SMS,0,405189034500367,864382041058261,Vodafone_Idea,BTS-MUM-011,11892,1002,SUCCESS
CDR-SUB-494294,2026-05-24T23:41:07.451178,+919774476372,+916364937963,SMS,0,405071188879306,351657113161899,BSNL,BTS-MUM-009,77899,1001,SUCCESS
CDR-SUB-819259,2026-05-24T23:53:43.451178,+919774476372,+916932982197,VOICE,326,405071188879306,351657113161899,BSNL,BTS-MUM-009,77899,1001,SUCCESS
CDR-SUB-514284,2026-05-24T23:53:37.451178,+918063530621,+919523414579,VOICE,0,405455135266106,868203044301894,Airtel,BTS-MUM-002,20960,1000,NO_ANSWER
CDR-SUB-780467,2026-05-25T00:01:20.451178,+917499589805,+916318903853,SMS,0,405840470025420,868203044395342,Jio,BTS-MUM-003,97016,1000,SUCCESS
CDR-SUB-760801,2026-05-25T00:24:51.451178,+918970737615,+917089106615,SMS,0,405189438624664,864382049280875,Vodafone_Idea,BTS-MUM-008,68203,1001,SUCCESS
CDR-SUB-285525,2026-05-25T00:43:22.451178,+918063530621,+917514757104,SMS,0,405455135266106,868203044301894,Airtel,BTS-MUM-002,20960,1000,SUCCESS
CDR-SUB-807237,2026-05-25T00:50:16.451178,+918524173983,+919300847500,SMS,0,405453925660230,864382048614710,Airtel,BTS-MUM-002,20960,1000,SUCCESS
CDR-SUB-872292,2026-05-25T00:56:15.451178,+919523414579,+919938868865,SMS,0,405188005874184,359028094979398,Vodafone_Idea,BTS-MUM-012,59908,1002,SUCCESS
CDR-SUB-694136,2026-05-25T01:04:02.451178,+918970737615,+916571540271,SMS,0,405189438624664,864382049280875,Vodafone_Idea,BTS-MUM-008,68203,1001,SUCCESS
CDR-SUB-602285,2026-05-25T01:24:43.451178,+917766469204,+916318903853,VOICE,227,405840920351816,868203047099917,Jio,BTS-MUM-014,28654,1002,SUCCESS
