RECORD_ID,TIMESTAMP,SUBSCRIBER_ID,USERNAME,MSISDN,IMSI,SOURCE_PRIVATE_IP,SOURCE_PRIVATE_PORT,SOURCE_PUBLIC_IP,SOURCE_PUBLIC_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PROVIDER_NAME,ACCESS_TYPE
IPD-SUB-852693,2026-05-24T23:30:42.451178,SUB-000038,michelle88,+916656933137,N/A (BROADBAND),192.168.1.89,50323,122.160.208.3,25118,31.13.88.49,443,TCP,37587271,158952450,Hathway,BROADBAND
IPD-SUB-488508,2026-05-24T23:18:04.451178,SUB-000075,robertbaker,+917142018505,405185816675843,100.92.114.232,51101,150.129.160.86,31255,157.240.13.35,443,TCP,76260506,447521166,Vodafone Idea,CELLULAR
IPD-SUB-825024,2026-05-24T23:23:10.451178,SUB-000090,swalls,+918785362517,N/A (BROADBAND),192.168.1.51,55834,49.206.126.155,48290,142.250.190.46,443,TCP,57893536,1075952970,ACT Fibernet,BROADBAND
IPD-SUB-307743,2026-05-24T23:28:21.451178,SUB-000018,richardreynolds,+917654890656,N/A (BROADBAND),192.168.1.43,62244,103.85.206.149,17540,157.240.16.53,443,TCP,155384901,685051741,Tata Play Fiber,BROADBAND
IPD-SUB-904482,2026-05-24T23:26:16.451178,SUB-000064,josephsandoval,+918630884248,N/A (BROADBAND),192.168.1.233,50298,103.241.2.240,5970,157.240.23.174,443,TCP,285674606,1295816342,ACT Fibernet,BROADBAND
IPD-SUB-352243,2026-05-24T23:20:27.451178,SUB-000066,savannaholiver,+919730116907,N/A (BROADBAND),192.168.1.179,56675,122.160.149.169,26323,23.212.248.51,443,TCP,113229026,1567444783,Hathway,BROADBAND
IPD-SUB-438187,2026-05-24T23:17:31.451178,SUB-000046,mahoneyfrank,+918221902139,N/A (BROADBAND),192.168.1.244,55376,49.206.138.10,21841,172.217.16.142,443,TCP,39137836,548033963,ACT Fibernet,BROADBAND
IPD-SUB-279387,2026-05-24T23:21:46.451178,SUB-000089,nicholasbrown,+918063530621,405455135266106,100.103.223.48,64711,106.198.247.183,9372,157.240.23.174,443,TCP,119129431,912933584,Airtel,CELLULAR
IPD-SUB-426617,2026-05-24T23:22:21.451178,SUB-000096,fitzpatrickmichael,+916214147419,N/A (BROADBAND),192.168.1.44,52499,49.205.245.237,37088,142.250.190.46,443,TCP,12911195,280493830,ACT Fibernet,BROADBAND
IPD-SUB-961853,2026-05-24T23:33:22.451178,SUB-000006,shane40,+917514757104,405840659060962,100.113.167.80,53995,174.209.100.44,23440,157.240.16.53,443,TCP,44737889,197252544,Jio,CELLULAR
IPD-SUB-239972,2026-05-24T23:31:58.451178,SUB-000033,omarmiller,+917674669256,405840877441827,100.104.115.241,63603,97.214.70.137,1401,172.217.16.142,443,TCP,108328976,1460098974,Jio,CELLULAR
IPD-SUB-317104,2026-05-24T23:34:15.451178,SUB-000081,egilbert,+917007647892,N/A (BROADBAND),192.168.1.130,54220,49.204.103.175,14963,142.250.190.46,443,TCP,9980531,308903157,ACT Fibernet,BROADBAND
IPD-SUB-341681,2026-05-24T23:36:13.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.149,65124,103.241.3.88,17763,23.212.248.60,443,TCP,46686088,712660951,ACT Fibernet,BROADBAND
IPD-SUB-228082,2026-05-24T23:41:39.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.81,57273,122.160.96.22,17430,103.14.161.45,443,TCP,470998726,456522781,Hathway,BROADBAND
IPD-SUB-511378,2026-05-24T23:46:06.451178,SUB-000048,jarvisdean,+916010506738,405184288056513,100.77.82.198,60541,150.129.130.129,11502,23.212.248.60,443,TCP,50550401,1523716322,Vodafone Idea,CELLULAR
IPD-SUB-891235,2026-05-24T23:44:16.451178,SUB-000066,savannaholiver,+919730116907,N/A (BROADBAND),192.168.1.46,59699,115.110.44.142,15241,157.240.23.174,443,TCP,195770252,1117423138,Hathway,BROADBAND
IPD-SUB-381164,2026-05-24T23:46:32.451178,SUB-000024,shawn08,+919936351080,N/A (BROADBAND),192.168.1.137,54214,115.110.182.242,45175,157.240.16.53,443,TCP,142817762,769210076,Hathway,BROADBAND
IPD-SUB-231437,2026-05-24T23:35:59.451178,SUB-000076,brenda36,+919977738198,N/A (BROADBAND),192.168.1.202,63691,49.205.42.93,8567,31.13.88.49,443,TCP,21729776,118194489,ACT Fibernet,BROADBAND
IPD-SUB-423427,2026-05-24T23:33:11.451178,SUB-000093,maryharper,+918502435585,N/A (BROADBAND),192.168.1.91,65422,122.160.181.61,7250,157.240.16.53,443,TCP,113762766,676322394,Hathway,BROADBAND
IPD-SUB-640404,2026-05-24T23:47:53.451178,SUB-000084,thowell,+918736292116,405840800206875,100.66.175.118,58195,49.44.55.33,24056,157.240.16.53,443,TCP,9294673,47331259,Jio,CELLULAR
IPD-SUB-269241,2026-05-24T23:57:14.451178,SUB-000096,fitzpatrickmichael,+916214147419,N/A (BROADBAND),192.168.1.235,54979,49.206.14.175,12998,157.240.13.35,443,TCP,21397367,120790285,ACT Fibernet,BROADBAND
IPD-SUB-239322,2026-05-25T00:00:52.451178,SUB-000033,omarmiller,+917674669256,405840877441827,100.104.115.241,65147,49.38.182.16,11571,157.240.16.53,443,TCP,222903365,1173560759,Jio,CELLULAR
IPD-SUB-230770,2026-05-24T23:48:19.451178,SUB-000088,ashley45,+918829921335,N/A (BROADBAND),192.168.1.50,55853,122.160.69.152,11281,8.8.4.4,53,UDP,89948856,511276293,Hathway,BROADBAND
